id,capaNo,productName,issueType,severity,rootCause,department,productionLine,lotNo,claimSource,assignee,dueDate,status,createdAt,completedAt
169,CAPA-2025-0169,선크림 B,기타,중,표준서미비,물류팀,C라인,LOT-20251113-955,자체검사,배주안,2025-11-28,done,2025-11-13,2025-12-11
170,CAPA-2025-0170,미스트 A,표시오류,상,기타,구매팀,C라인,LOT-20251113-423,자체검사,강민준,2025-11-28,done,2025-11-13,2025-11-24
171,CAPA-2025-0171,앰플 B,기타,하,표준서미비,품질보증팀,A라인,LOT-20251115-579,고객사,문서현,2025-12-14,done,2025-11-15,2025-12-19
172,CAPA-2025-0172,앰플 B,표시오류,중,표준서미비,생산1팀,D라인,LOT-20251117-714,자체검사,한소율,2025-12-12,done,2025-11-17,2025-12-23
173,CAPA-2025-0173,바디로션 A,원료불량,중,원자재,품질보증팀,B라인,LOT-20251117-075,고객사,김지현,2025-12-15,done,2025-11-17,2025-12-20
174,CAPA-2025-0174,마스크팩 A,고객불만,하,작업자실수,생산1팀,C라인,LOT-20251120-852,자체검사,윤서아,2025-12-04,done,2025-11-20,2025-12-04
175,CAPA-2025-0175,아이크림 B,표시오류,중,원자재,생산1팀,D라인,LOT-20251120-438,고객사,정하늘,2025-12-05,done,2025-11-20,2025-12-04
176,CAPA-2025-0176,바디로션 A,공정이탈,중,협력사,품질보증팀,A라인,LOT-20251121-829,고객사,정하늘,2025-12-01,done,2025-11-21,2025-11-26
177,CAPA-2025-0177,선크림 A,표시오류,하,원자재,물류팀,C라인,LOT-20251122-668,고객사,문서현,2025-12-19,done,2025-11-22,2025-12-11
178,CAPA-2025-0178,바디로션 A,표시오류,상,기타,생산1팀,D라인,LOT-20251125-931,자체검사,정하늘,2025-12-25,done,2025-11-25,2025-12-18
179,CAPA-2025-0179,파운데이션 B,원료불량,중,설비,생산2팀,B라인,LOT-20251125-295,내부감사,강민준,2025-12-20,done,2025-11-25,2025-12-18
180,CAPA-2025-0180,립스틱 B,고객불만,중,설비,물류팀,C라인,LOT-20251127-566,자체검사,최유리,2025-12-11,done,2025-11-27,2025-12-11
181,CAPA-2025-0181,아이크림 A,포장불량,중,협력사,생산1팀,A라인,LOT-20251127-058,고객사,윤서아,2025-12-24,done,2025-11-27,2025-12-26
182,CAPA-2025-0182,헤어에센스 B,포장불량,중,설비,품질보증팀,C라인,LOT-20251128-512,내부감사,윤서아,2025-12-24,done,2025-11-28,2025-12-15
183,CAPA-2025-0183,앰플 B,기타,중,협력사,물류팀,B라인,LOT-20251128-034,고객사,배주안,2025-12-27,done,2025-11-28,2025-12-24
184,CAPA-2025-0184,마스크팩 A,표시오류,중,작업자실수,품질보증팀,C라인,LOT-20251128-719,고객사,문서현,2025-12-23,done,2025-11-28,2025-12-25
185,CAPA-2025-0185,아이섀도 B,포장불량,상,표준서미비,품질보증팀,C라인,LOT-20251129-433,고객사,임지호,2025-12-15,done,2025-11-29,2025-12-07
186,CAPA-2025-0186,쿠션 A,공정이탈,상,협력사,생산1팀,A라인,LOT-20251129-807,내부감사,신예은,2025-12-29,done,2025-11-29,2025-12-21
187,CAPA-2025-0187,아이섀도 B,원료불량,중,표준서미비,생산2팀,B라인,LOT-20251130-389,자체검사,배주안,2025-12-10,done,2025-11-30,2025-12-10
188,CAPA-2025-0188,세럼 B,공정이탈,상,설비,물류팀,C라인,LOT-20251201-450,고객사,이수민,2025-12-19,done,2025-12-01,2025-12-15
189,CAPA-2025-0189,마스크팩 A,고객불만,하,협력사,생산1팀,C라인,LOT-20251202-715,고객사,임지호,2025-12-20,done,2025-12-02,2025-12-15
190,CAPA-2025-0190,파운데이션 A,표시오류,하,작업자실수,구매팀,C라인,LOT-20251202-501,내부감사,강민준,2025-12-24,done,2025-12-02,2025-12-23
191,CAPA-2025-0191,선스틱 A,고객불만,하,설비,품질보증팀,C라인,LOT-20251204-684,고객사,조현우,2026-01-02,done,2025-12-04,2026-01-07
192,CAPA-2025-0192,립밤 B,기타,중,원자재,구매팀,D라인,LOT-20251205-933,자체검사,배주안,2025-12-30,done,2025-12-05,2025-12-22
193,CAPA-2025-0193,클렌징폼 B,원료불량,중,원자재,물류팀,D라인,LOT-20251205-133,고객사,강민준,2025-12-16,done,2025-12-05,2025-12-28
194,CAPA-2025-0194,수분크림 B,기타,하,설비,물류팀,C라인,LOT-20251206-162,고객사,조현우,2025-12-18,done,2025-12-06,2025-12-14
195,CAPA-2025-0195,토너 A,공정이탈,중,기타,생산1팀,C라인,LOT-20251206-938,정부기관,박서준,2025-12-18,done,2025-12-06,2025-12-18
196,CAPA-2025-0196,바디로션 A,고객불만,하,원자재,생산2팀,A라인,LOT-20251207-114,자체검사,강민준,2025-12-26,done,2025-12-07,2025-12-25
197,CAPA-2025-0197,아이크림 B,원료불량,하,기타,물류팀,C라인,LOT-20251209-493,고객사,임지호,2025-12-19,done,2025-12-09,2025-12-30
198,CAPA-2025-0198,선크림 A,공정이탈,중,기타,구매팀,D라인,LOT-20251212-117,내부감사,이수민,2026-01-08,done,2025-12-12,2026-01-23
199,CAPA-2025-0199,쿠션 A,고객불만,하,기타,생산2팀,D라인,LOT-20251212-053,고객사,김지현,2025-12-24,done,2025-12-12,2026-01-04
200,CAPA-2025-0200,미스트 A,공정이탈,중,설비,물류팀,A라인,LOT-20251213-712,고객사,김지현,2026-01-08,done,2025-12-13,2025-12-30
201,CAPA-2025-0201,아이크림 B,공정이탈,중,작업자실수,생산1팀,B라인,LOT-20251213-246,내부감사,강민준,2026-01-03,done,2025-12-13,2026-01-16
202,CAPA-2025-0202,토너 A,원료불량,상,표준서미비,생산2팀,C라인,LOT-20251214-396,자체검사,이수민,2025-12-24,done,2025-12-14,2025-12-19
203,CAPA-2025-0203,세럼 B,고객불만,중,협력사,생산1팀,B라인,LOT-20251216-534,자체검사,강민준,2026-01-11,done,2025-12-16,2026-01-05
204,CAPA-2025-0204,헤어에센스 A,기타,중,기타,물류팀,B라인,LOT-20251219-511,내부감사,신예은,2026-01-08,done,2025-12-19,2026-01-06
205,CAPA-2025-0205,앰플 B,고객불만,상,작업자실수,물류팀,C라인,LOT-20251220-372,자체검사,김지현,2025-12-31,done,2025-12-20,2025-12-22
206,CAPA-2025-0206,토너 A,기타,중,설비,생산1팀,B라인,LOT-20251220-231,자체검사,이수민,2026-01-15,done,2025-12-20,2026-01-14
207,CAPA-2025-0207,미스트 B,기타,하,설비,생산1팀,C라인,LOT-20251221-525,자체검사,배주안,2026-01-06,done,2025-12-21,2025-12-29
208,CAPA-2025-0208,쿠션 B,원료불량,중,표준서미비,물류팀,B라인,LOT-20251221-920,정부기관,윤서아,2026-01-01,done,2025-12-21,2026-01-10
209,CAPA-2025-0209,파운데이션 B,원료불량,상,설비,구매팀,C라인,LOT-20251222-153,내부감사,윤서아,2026-01-07,done,2025-12-22,2025-12-31
210,CAPA-2025-0210,세럼 A,기타,중,표준서미비,생산1팀,B라인,LOT-20251224-162,내부감사,문서현,2026-01-18,done,2025-12-24,2026-01-14
211,CAPA-2025-0211,아이크림 B,고객불만,상,표준서미비,물류팀,A라인,LOT-20251225-677,자체검사,신예은,2026-01-11,done,2025-12-25,2026-01-08
212,CAPA-2025-0212,아이크림 A,원료불량,상,표준서미비,물류팀,C라인,LOT-20251225-542,자체검사,이수민,2026-01-18,done,2025-12-25,2026-01-18
213,CAPA-2025-0213,선스틱 A,원료불량,상,표준서미비,품질보증팀,B라인,LOT-20251226-964,정부기관,신예은,2026-01-05,done,2025-12-26,2026-01-17
214,CAPA-2025-0214,마스크팩 B,공정이탈,하,기타,생산1팀,C라인,LOT-20251226-523,고객사,김지현,2026-01-22,done,2025-12-26,2026-01-18
215,CAPA-2025-0215,샴푸 A,고객불만,중,원자재,생산1팀,A라인,LOT-20251227-216,내부감사,신예은,2026-01-26,done,2025-12-27,2026-01-24
216,CAPA-2025-0216,수분크림 A,표시오류,중,설비,생산1팀,C라인,LOT-20251227-760,자체검사,배주안,2026-01-14,done,2025-12-27,2026-01-06
217,CAPA-2025-0217,앰플 A,포장불량,중,기타,생산1팀,D라인,LOT-20251227-158,자체검사,이수민,2026-01-13,done,2025-12-27,2026-01-10
218,CAPA-2025-0218,수분크림 B,포장불량,중,원자재,생산2팀,C라인,LOT-20251228-127,고객사,정하늘,2026-01-13,done,2025-12-28,2026-01-27
219,CAPA-2025-0219,선크림 A,기타,하,기타,품질보증팀,C라인,LOT-20251228-210,고객사,배주안,2026-01-08,done,2025-12-28,2026-01-06
220,CAPA-2025-0220,아이섀도 A,포장불량,중,작업자실수,품질보증팀,B라인,LOT-20251229-486,내부감사,배주안,2026-01-22,done,2025-12-29,2026-01-14
221,CAPA-2025-0221,쿠션 A,원료불량,하,설비,생산2팀,D라인,LOT-20251230-818,자체검사,정하늘,2026-01-15,done,2025-12-30,2026-01-29
222,CAPA-2025-0222,마스크팩 A,포장불량,상,원자재,생산1팀,C라인,LOT-20251230-649,고객사,이수민,2026-01-11,done,2025-12-30,2026-01-08
223,CAPA-2025-0223,세럼 B,공정이탈,상,작업자실수,생산1팀,B라인,LOT-20251230-419,자체검사,배주안,2026-01-28,done,2025-12-30,2026-02-03
224,CAPA-2026-0001,헤어에센스 A,기타,하,작업자실수,구매팀,B라인,LOT-20260102-848,내부감사,최유리,2026-02-01,done,2026-01-02,2026-01-31
225,CAPA-2026-0002,쿠션 B,원료불량,상,협력사,구매팀,B라인,LOT-20260102-815,고객사,임지호,2026-01-25,done,2026-01-02,2026-01-20
226,CAPA-2026-0003,블러셔 A,공정이탈,중,설비,생산1팀,D라인,LOT-20260103-581,고객사,최유리,2026-01-30,done,2026-01-03,2026-01-22
227,CAPA-2026-0004,아이크림 B,원료불량,중,작업자실수,생산1팀,C라인,LOT-20260104-247,고객사,오도윤,2026-02-02,done,2026-01-04,2026-02-04
228,CAPA-2026-0005,클렌징폼 B,공정이탈,중,작업자실수,물류팀,C라인,LOT-20260104-199,고객사,배주안,2026-02-01,done,2026-01-04,2026-01-30
229,CAPA-2026-0006,클렌징폼 A,표시오류,중,원자재,생산1팀,B라인,LOT-20260104-697,고객사,한소율,2026-01-17,done,2026-01-04,2026-01-15
230,CAPA-2026-0007,마스크팩 A,포장불량,상,작업자실수,생산2팀,A라인,LOT-20260105-007,내부감사,조현우,2026-01-21,done,2026-01-05,2026-01-13
231,CAPA-2026-0008,앰플 A,표시오류,중,기타,생산1팀,C라인,LOT-20260105-636,자체검사,오도윤,2026-01-21,done,2026-01-05,2026-01-20
232,CAPA-2026-0009,클렌징폼 B,표시오류,중,표준서미비,구매팀,D라인,LOT-20260105-584,고객사,최유리,2026-01-17,done,2026-01-05,2026-01-11
233,CAPA-2026-0010,세럼 A,고객불만,하,협력사,생산1팀,D라인,LOT-20260106-541,자체검사,문서현,2026-02-01,done,2026-01-06,2026-02-05
234,CAPA-2026-0011,마스크팩 B,표시오류,중,원자재,물류팀,D라인,LOT-20260106-782,내부감사,윤서아,2026-02-01,done,2026-01-06,2026-01-29
235,CAPA-2026-0012,립밤 B,기타,중,원자재,생산2팀,B라인,LOT-20260106-470,고객사,임지호,2026-01-22,done,2026-01-06,2026-01-18
236,CAPA-2026-0013,세럼 A,기타,하,원자재,물류팀,C라인,LOT-20260107-067,고객사,김지현,2026-02-06,done,2026-01-07,2026-02-06
237,CAPA-2026-0014,토너 B,포장불량,중,표준서미비,물류팀,C라인,LOT-20260111-160,자체검사,최유리,2026-01-30,done,2026-01-11,2026-01-21
238,CAPA-2026-0015,헤어에센스 A,기타,중,설비,물류팀,D라인,LOT-20260111-293,자체검사,문서현,2026-01-29,done,2026-01-11,2026-01-23
239,CAPA-2026-0016,앰플 B,원료불량,중,작업자실수,물류팀,B라인,LOT-20260112-984,고객사,이수민,2026-01-28,done,2026-01-12,2026-01-22
240,CAPA-2026-0017,블러셔 A,포장불량,중,작업자실수,품질보증팀,B라인,LOT-20260113-332,자체검사,문서현,2026-02-02,done,2026-01-13,2026-02-02
241,CAPA-2026-0018,쿠션 B,표시오류,상,기타,품질보증팀,B라인,LOT-20260113-582,고객사,문서현,2026-02-01,done,2026-01-13,2026-01-25
242,CAPA-2026-0019,수분크림 A,포장불량,하,작업자실수,생산2팀,B라인,LOT-20260116-751,정부기관,이수민,2026-02-11,done,2026-01-16,2026-02-09
243,CAPA-2026-0020,마스크팩 A,공정이탈,중,설비,품질보증팀,D라인,LOT-20260116-344,자체검사,이수민,2026-02-12,done,2026-01-16,2026-02-06
244,CAPA-2026-0021,클렌징폼 B,포장불량,하,표준서미비,생산1팀,D라인,LOT-20260116-223,자체검사,최유리,2026-02-01,done,2026-01-16,2026-01-25
245,CAPA-2026-0022,마스크팩 A,고객불만,하,기타,품질보증팀,D라인,LOT-20260118-220,자체검사,오도윤,2026-02-05,done,2026-01-18,2026-01-27
246,CAPA-2026-0023,선스틱 A,원료불량,하,협력사,생산2팀,C라인,LOT-20260118-026,자체검사,정하늘,2026-02-02,done,2026-01-18,2026-01-27
247,CAPA-2026-0024,쿠션 A,공정이탈,하,기타,품질보증팀,C라인,LOT-20260119-766,고객사,한소율,2026-01-30,done,2026-01-19,2026-01-28
248,CAPA-2026-0025,토너 A,기타,상,협력사,생산2팀,D라인,LOT-20260119-978,자체검사,한소율,2026-02-05,done,2026-01-19,2026-02-13
249,CAPA-2026-0026,아이크림 B,표시오류,상,설비,물류팀,B라인,LOT-20260122-347,고객사,최유리,2026-02-11,done,2026-01-22,2026-02-08
250,CAPA-2026-0027,파운데이션 A,고객불만,하,원자재,물류팀,A라인,LOT-20260122-144,자체검사,정하늘,2026-02-17,done,2026-01-22,2026-02-09
251,CAPA-2026-0028,립스틱 B,포장불량,중,표준서미비,구매팀,D라인,LOT-20260122-511,자체검사,오도윤,2026-02-18,done,2026-01-22,2026-02-12
252,CAPA-2026-0029,선스틱 B,고객불만,하,작업자실수,구매팀,D라인,LOT-20260123-976,자체검사,정하늘,2026-02-05,done,2026-01-23,2026-02-01
253,CAPA-2026-0030,세럼 A,고객불만,중,작업자실수,생산2팀,B라인,LOT-20260123-358,자체검사,박서준,2026-02-09,done,2026-01-23,2026-02-21
254,CAPA-2026-0031,아이섀도 B,기타,중,설비,구매팀,A라인,LOT-20260124-274,고객사,신예은,2026-02-10,done,2026-01-24,2026-02-04
255,CAPA-2026-0032,헤어에센스 B,표시오류,중,설비,생산1팀,B라인,LOT-20260124-711,내부감사,박서준,2026-02-05,done,2026-01-24,2026-01-30
256,CAPA-2026-0033,헤어에센스 A,원료불량,중,표준서미비,품질보증팀,A라인,LOT-20260125-072,자체검사,박서준,2026-02-11,done,2026-01-25,2026-02-20
257,CAPA-2026-0034,미스트 A,포장불량,중,원자재,물류팀,C라인,LOT-20260126-105,자체검사,한소율,2026-02-13,done,2026-01-26,2026-02-08
258,CAPA-2026-0035,선스틱 A,고객불만,중,기타,생산2팀,B라인,LOT-20260127-443,정부기관,윤서아,2026-02-11,done,2026-01-27,2026-02-09
259,CAPA-2026-0036,세럼 B,포장불량,하,설비,생산1팀,A라인,LOT-20260128-218,내부감사,정하늘,2026-02-15,done,2026-01-28,2026-02-08
260,CAPA-2026-0037,블러셔 B,기타,중,기타,생산2팀,D라인,LOT-20260128-792,고객사,김지현,2026-02-08,done,2026-01-28,2026-02-19
261,CAPA-2026-0038,선크림 B,원료불량,하,표준서미비,물류팀,D라인,LOT-20260129-252,고객사,김지현,2026-02-24,done,2026-01-29,2026-02-19
262,CAPA-2026-0039,클렌징폼 A,기타,중,작업자실수,생산1팀,A라인,LOT-20260130-737,자체검사,윤서아,2026-03-01,done,2026-01-30,2026-03-05
263,CAPA-2026-0040,세럼 B,기타,상,원자재,품질보증팀,B라인,LOT-20260130-924,자체검사,오도윤,2026-02-11,done,2026-01-30,2026-02-10
264,CAPA-2026-0041,립밤 A,공정이탈,중,원자재,생산2팀,D라인,LOT-20260131-386,자체검사,윤서아,2026-02-11,done,2026-01-31,2026-02-05
265,CAPA-2026-0042,아이크림 A,원료불량,중,설비,생산2팀,C라인,LOT-20260201-410,내부감사,오도윤,2026-02-17,done,2026-02-01,2026-02-10
266,CAPA-2026-0043,립스틱 B,표시오류,상,원자재,생산2팀,A라인,LOT-20260202-870,고객사,임지호,2026-02-13,done,2026-02-02,2026-02-12
267,CAPA-2026-0044,선크림 B,원료불량,상,협력사,품질보증팀,B라인,LOT-20260203-375,내부감사,문서현,2026-02-23,done,2026-02-03,2026-02-22
268,CAPA-2026-0045,쿠션 A,원료불량,하,표준서미비,물류팀,C라인,LOT-20260203-484,고객사,임지호,2026-02-14,done,2026-02-03,2026-02-18
269,CAPA-2026-0046,아이크림 A,원료불량,중,원자재,생산2팀,A라인,LOT-20260204-349,내부감사,조현우,2026-03-03,done,2026-02-04,2026-02-23
270,CAPA-2026-0047,아이섀도 A,기타,중,설비,생산1팀,A라인,LOT-20260206-020,자체검사,신예은,2026-02-21,done,2026-02-06,2026-02-21
271,CAPA-2026-0048,선스틱 B,표시오류,하,작업자실수,물류팀,C라인,LOT-20260207-756,고객사,임지호,2026-02-26,done,2026-02-07,2026-02-24
272,CAPA-2026-0049,파운데이션 B,고객불만,하,기타,구매팀,D라인,LOT-20260208-132,고객사,강민준,2026-03-06,done,2026-02-08,2026-03-12
273,CAPA-2026-0050,수분크림 A,표시오류,상,작업자실수,물류팀,D라인,LOT-20260209-654,고객사,강민준,2026-02-21,done,2026-02-09,2026-02-12
274,CAPA-2026-0051,블러셔 A,기타,하,작업자실수,품질보증팀,D라인,LOT-20260209-922,내부감사,배주안,2026-03-11,done,2026-02-09,2026-03-09
275,CAPA-2026-0052,쿠션 A,포장불량,중,원자재,품질보증팀,C라인,LOT-20260210-593,고객사,박서준,2026-03-05,done,2026-02-10,2026-03-03
276,CAPA-2026-0053,쿠션 A,공정이탈,중,설비,생산2팀,C라인,LOT-20260212-826,고객사,윤서아,2026-02-28,done,2026-02-12,2026-02-26
277,CAPA-2026-0054,앰플 B,공정이탈,중,작업자실수,구매팀,C라인,LOT-20260213-018,내부감사,임지호,2026-03-14,done,2026-02-13,2026-03-05
278,CAPA-2026-0055,세럼 B,기타,하,기타,생산2팀,C라인,LOT-20260214-740,고객사,정하늘,2026-03-04,done,2026-02-14,2026-03-12
279,CAPA-2026-0056,아이크림 A,원료불량,상,작업자실수,구매팀,A라인,LOT-20260214-450,고객사,임지호,2026-03-09,done,2026-02-14,2026-03-05
280,CAPA-2026-0057,아이크림 A,표시오류,중,표준서미비,품질보증팀,D라인,LOT-20260215-324,내부감사,이수민,2026-02-26,done,2026-02-15,2026-02-26
281,CAPA-2026-0058,클렌징폼 A,공정이탈,중,표준서미비,생산1팀,C라인,LOT-20260216-273,정부기관,문서현,2026-03-07,done,2026-02-16,2026-03-07
282,CAPA-2026-0059,블러셔 A,기타,중,협력사,구매팀,C라인,LOT-20260217-931,고객사,문서현,2026-02-28,done,2026-02-17,2026-02-24
283,CAPA-2026-0060,토너 A,고객불만,상,설비,구매팀,A라인,LOT-20260220-535,내부감사,임지호,2026-03-12,done,2026-02-20,2026-03-11
284,CAPA-2026-0061,헤어에센스 A,기타,중,작업자실수,물류팀,C라인,LOT-20260220-603,자체검사,박서준,2026-03-22,done,2026-02-20,2026-03-20
285,CAPA-2026-0062,바디로션 B,포장불량,하,협력사,생산1팀,B라인,LOT-20260222-231,정부기관,문서현,2026-03-14,done,2026-02-22,2026-03-27
286,CAPA-2026-0063,바디로션 A,포장불량,중,표준서미비,생산1팀,C라인,LOT-20260222-387,정부기관,임지호,2026-03-10,done,2026-02-22,2026-03-05
287,CAPA-2026-0064,파운데이션 A,표시오류,상,작업자실수,생산1팀,D라인,LOT-20260224-012,고객사,신예은,2026-03-06,done,2026-02-24,2026-03-14
288,CAPA-2026-0065,아이섀도 A,표시오류,하,원자재,생산1팀,B라인,LOT-20260225-133,고객사,이수민,2026-03-20,done,2026-02-25,2026-03-17
289,CAPA-2026-0066,토너 B,공정이탈,하,원자재,품질보증팀,C라인,LOT-20260226-489,자체검사,김지현,2026-03-23,done,2026-02-26,2026-03-18
290,CAPA-2026-0067,선스틱 A,고객불만,상,표준서미비,생산1팀,D라인,LOT-20260226-038,고객사,윤서아,2026-03-10,done,2026-02-26,2026-03-15
291,CAPA-2026-0068,미스트 B,포장불량,상,작업자실수,생산2팀,C라인,LOT-20260228-647,정부기관,이수민,2026-03-29,done,2026-02-28,2026-03-26
292,CAPA-2026-0069,헤어에센스 A,표시오류,중,기타,구매팀,A라인,LOT-20260306-088,자체검사,조현우,2026-04-04,done,2026-03-06,2026-03-30
293,CAPA-2026-0070,핸드크림 B,공정이탈,중,설비,생산1팀,A라인,LOT-20260306-790,자체검사,김지현,2026-03-25,done,2026-03-06,2026-03-20
294,CAPA-2026-0071,헤어에센스 A,표시오류,하,협력사,생산1팀,C라인,LOT-20260307-875,고객사,한소율,2026-04-05,done,2026-03-07,2026-04-01
295,CAPA-2026-0072,선스틱 B,고객불만,중,표준서미비,물류팀,B라인,LOT-20260307-762,자체검사,임지호,2026-03-27,done,2026-03-07,2026-03-27
296,CAPA-2026-0073,샴푸 B,고객불만,상,설비,품질보증팀,A라인,LOT-20260309-284,자체검사,조현우,2026-03-31,done,2026-03-09,2026-04-12
297,CAPA-2026-0074,아이크림 B,포장불량,하,설비,품질보증팀,C라인,LOT-20260309-645,고객사,이수민,2026-03-30,done,2026-03-09,2026-04-02
298,CAPA-2026-0075,블러셔 B,기타,중,설비,생산1팀,B라인,LOT-20260310-943,자체검사,문서현,2026-03-29,done,2026-03-10,2026-04-06
299,CAPA-2026-0076,마스크팩 A,원료불량,하,원자재,생산1팀,C라인,LOT-20260311-692,고객사,임지호,2026-04-09,done,2026-03-11,2026-04-05
300,CAPA-2026-0077,수분크림 B,포장불량,하,설비,물류팀,C라인,LOT-20260314-339,고객사,김지현,2026-04-01,done,2026-03-14,2026-04-01
301,CAPA-2026-0078,헤어에센스 A,기타,중,원자재,생산1팀,C라인,LOT-20260315-321,고객사,강민준,2026-03-29,done,2026-03-15,2026-03-23
302,CAPA-2026-0079,미스트 B,기타,중,작업자실수,구매팀,B라인,LOT-20260315-759,고객사,임지호,2026-03-26,done,2026-03-15,2026-03-17
303,CAPA-2026-0080,샴푸 A,표시오류,중,표준서미비,물류팀,C라인,LOT-20260316-918,고객사,신예은,2026-04-13,done,2026-03-16,2026-04-11
304,CAPA-2026-0081,마스크팩 B,원료불량,중,협력사,구매팀,D라인,LOT-20260317-454,고객사,조현우,2026-03-31,done,2026-03-17,2026-03-22
305,CAPA-2026-0082,샴푸 B,원료불량,중,설비,품질보증팀,D라인,LOT-20260317-240,정부기관,정하늘,2026-04-12,done,2026-03-17,2026-04-12
306,CAPA-2026-0083,파운데이션 A,원료불량,상,원자재,생산1팀,C라인,LOT-20260319-550,내부감사,문서현,2026-04-05,done,2026-03-19,2026-04-03
307,CAPA-2026-0084,마스크팩 A,표시오류,중,작업자실수,생산2팀,B라인,LOT-20260321-979,자체검사,오도윤,2026-04-09,done,2026-03-21,2026-04-04
308,CAPA-2026-0085,세럼 B,기타,중,협력사,생산2팀,B라인,LOT-20260323-059,고객사,박서준,2026-04-02,done,2026-03-23,2026-03-27
309,CAPA-2026-0086,선스틱 B,표시오류,중,원자재,품질보증팀,C라인,LOT-20260324-651,고객사,강민준,2026-04-07,done,2026-03-24,2026-04-09
310,CAPA-2026-0087,수분크림 A,기타,하,원자재,생산2팀,D라인,LOT-20260326-733,자체검사,한소율,2026-04-08,done,2026-03-26,2026-04-08
311,CAPA-2026-0088,블러셔 A,공정이탈,하,설비,물류팀,D라인,LOT-20260326-305,내부감사,오도윤,2026-04-14,done,2026-03-26,2026-04-10
312,CAPA-2026-0089,아이섀도 B,기타,중,원자재,품질보증팀,B라인,LOT-20260326-462,고객사,임지호,2026-04-16,done,2026-03-26,2026-04-24
313,CAPA-2026-0090,헤어에센스 A,원료불량,중,협력사,생산1팀,A라인,LOT-20260328-091,고객사,조현우,2026-04-25,done,2026-03-28,2026-04-24
314,CAPA-2026-0091,파운데이션 B,원료불량,하,원자재,구매팀,D라인,LOT-20260328-814,고객사,김지현,2026-04-20,done,2026-03-28,2026-05-05
315,CAPA-2026-0092,아이섀도 B,기타,하,설비,생산1팀,C라인,LOT-20260401-131,자체검사,김지현,2026-04-17,done,2026-04-01,2026-04-22
316,CAPA-2026-0093,립스틱 B,포장불량,중,작업자실수,구매팀,A라인,LOT-20260401-297,정부기관,정하늘,2026-04-19,done,2026-04-01,2026-04-17
317,CAPA-2026-0094,미스트 B,기타,상,기타,구매팀,A라인,LOT-20260401-512,자체검사,정하늘,2026-04-12,done,2026-04-01,2026-04-03
318,CAPA-2026-0095,립스틱 A,기타,하,기타,생산2팀,C라인,LOT-20260403-272,고객사,임지호,2026-04-17,done,2026-04-03,2026-05-01
319,CAPA-2026-0096,헤어에센스 A,원료불량,중,기타,구매팀,C라인,LOT-20260404-703,고객사,이수민,2026-04-16,done,2026-04-04,2026-04-13
320,CAPA-2026-0097,쿠션 B,포장불량,중,원자재,생산2팀,C라인,LOT-20260406-932,자체검사,신예은,2026-05-02,done,2026-04-06,2026-05-01
321,CAPA-2026-0098,클렌징폼 B,고객불만,중,기타,구매팀,B라인,LOT-20260407-181,자체검사,오도윤,2026-04-28,done,2026-04-07,2026-04-26
322,CAPA-2026-0099,핸드크림 B,기타,중,협력사,생산1팀,C라인,LOT-20260407-759,고객사,신예은,2026-04-26,done,2026-04-07,2026-05-07
323,CAPA-2026-0100,선크림 A,고객불만,상,표준서미비,구매팀,B라인,LOT-20260408-933,자체검사,정하늘,2026-04-19,done,2026-04-08,2026-04-29
324,CAPA-2026-0101,핸드크림 B,원료불량,중,작업자실수,물류팀,A라인,LOT-20260410-554,고객사,최유리,2026-05-04,done,2026-04-10,2026-05-19
325,CAPA-2026-0102,파운데이션 B,표시오류,하,표준서미비,물류팀,D라인,LOT-20260411-241,자체검사,정하늘,2026-04-27,done,2026-04-11,2026-04-18
326,CAPA-2026-0103,수분크림 B,공정이탈,중,설비,품질보증팀,B라인,LOT-20260412-817,고객사,임지호,2026-05-09,done,2026-04-12,2026-05-08
327,CAPA-2026-0104,블러셔 A,고객불만,중,협력사,생산1팀,D라인,LOT-20260413-158,내부감사,배주안,2026-04-28,done,2026-04-13,2026-04-20
328,CAPA-2026-0105,수분크림 B,원료불량,하,표준서미비,생산2팀,A라인,LOT-20260413-439,내부감사,강민준,2026-05-10,done,2026-04-13,2026-05-07
329,CAPA-2026-0106,아이크림 A,고객불만,중,표준서미비,물류팀,D라인,LOT-20260414-709,고객사,김지현,2026-04-28,done,2026-04-14,2026-04-22
330,CAPA-2026-0107,립스틱 B,고객불만,중,기타,구매팀,B라인,LOT-20260416-642,고객사,한소율,2026-05-08,done,2026-04-16,2026-05-03
331,CAPA-2026-0108,아이섀도 B,기타,하,원자재,물류팀,B라인,LOT-20260417-362,자체검사,한소율,2026-05-10,done,2026-04-17,2026-05-20
332,CAPA-2026-0109,립밤 A,공정이탈,중,원자재,구매팀,D라인,LOT-20260417-563,내부감사,오도윤,2026-05-15,done,2026-04-17,2026-05-07
333,CAPA-2026-0110,앰플 A,고객불만,중,기타,물류팀,C라인,LOT-20260418-302,자체검사,신예은,2026-05-17,done,2026-04-18,2026-05-13
334,CAPA-2026-0111,립밤 B,기타,중,협력사,생산2팀,C라인,LOT-20260418-655,내부감사,조현우,2026-05-10,done,2026-04-18,2026-05-09
335,CAPA-2026-0112,마스크팩 A,공정이탈,하,기타,생산2팀,D라인,LOT-20260418-332,고객사,한소율,2026-05-16,done,2026-04-18,2026-05-09
336,CAPA-2026-0113,샴푸 A,포장불량,중,작업자실수,물류팀,C라인,LOT-20260418-179,정부기관,오도윤,2026-05-10,done,2026-04-18,2026-05-15
